1776401366.256577,Not Paying Attention,45
1776401366.3644464,Not Paying Attention,47
1776401366.4635437,Not Paying Attention,49
1776401366.5635316,Not Paying Attention,51
1776401366.6555314,Not Paying Attention,53
1776401366.7675846,Not Paying Attention,55
1776401366.8545558,Not Paying Attention,57
1776401366.9609284,Not Paying Attention,59
1776401367.041672,Not Paying Attention,61
1776401367.1715062,Not Paying Attention,63
1776401367.2492929,Not Paying Attention,65
1776401367.3285084,Not Paying Attention,67
1776401367.4725204,Not Paying Attention,69
1776401367.5645707,Not Paying Attention,71
1776401367.6594856,Not Paying Attention,73
1776401367.7440767,Not Paying Attention,75
1776401367.8735158,Not Paying Attention,77
1776401367.9704738,Not Paying Attention,79
1776401368.0735006,Not Paying Attention,81
1776401368.1402774,Not Paying Attention,83
1776401368.2794333,Not Paying Attention,85
1776401368.3592215,Not Paying Attention,87
1776401368.4439373,Not Paying Attention,89
1776401368.5615802,Not Paying Attention,91
1776401368.6708472,Not Paying Attention,93
1776401368.7646618,Not Paying Attention,95
1776401368.8538146,Not Paying Attention,97
1776401368.9395854,Not Paying Attention,99
1776401369.047296,Not Paying Attention,101
1776401369.1365116,Not Paying Attention,103
1776401369.2450094,Not Paying Attention,105
1776401369.3402588,Not Paying Attention,107
1776401369.4585707,Not Paying Attention,109
1776401369.5516312,Not Paying Attention,111
1776401369.6644974,Not Paying Attention,113
1776401372.8830814,Not Paying Attention,114
1776401372.95948,Not Paying Attention,116
1776401373.069571,Not Paying Attention,118
1776401373.1645303,Not Paying Attention,120
1776401373.2512953,Not Paying Attention,122
1776401373.3775656,Not Paying Attention,124
1776401373.4695675,Not Paying Attention,126
1776401373.567662,Not Paying Attention,128
1776401373.6813908,Not Paying Attention,130
1776401373.7611294,Not Paying Attention,132
1776401373.8605804,Not Paying Attention,134
1776401373.9623535,Not Paying Attention,136
1776401374.0725107,Not Paying Attention,138
1776401374.1806924,Not Paying Attention,140
1776401374.2705688,Not Paying Attention,142
1776401374.3677433,Not Paying Attention,144
1776401374.460958,Not Paying Attention,146
1776401374.5507176,Not Paying Attention,148
1776401374.667307,Not Paying Attention,150
1776401374.7895048,Not Paying Attention,152
1776401374.8563707,Not Paying Attention,154
1776401374.964573,Not Paying Attention,156
1776401375.075508,Not Paying Attention,158
1776401375.184214,Not Paying Attention,160
1776401375.2545006,Not Paying Attention,162
1776401375.3765311,Not Paying Attention,164
1776401375.4685583,Not Paying Attention,166
1776401375.5835595,Not Paying Attention,168
1776401375.6805143,Not Paying Attention,170
1776401375.7755122,Not Paying Attention,172
1776401375.8584259,Not Paying Attention,173
1776401375.9845088,Not Paying Attention,175
